d_org,d_in,n,T80_h,wvtr,t_lag_h,Tmax_C,Topt,cost_min,weight,dur_yr,pareto,pareto4
100.0,15.0,1,92.2488778894722,0.0026017455081699284,0.0031147099610816576,65.79029845797214,0.9090174249457076,169.72789115646256,0.1739,100.0,1,1
100.0,15.0,2,803.9260520174925,0.00029954684935130536,2.71582223293367,65.7879872048768,0.9089380064360286,339.4557823129251,0.3478,100.0,1,1
100.0,15.0,3,1518.1848194486333,0.00015892201119100391,8.010123059026702,65.78567613945387,0.9088585948649403,509.1836734693877,0.5217,100.0,1,1
100.0,15.0,4,2235.6391996637753,0.00010815004484717758,16.50003666912116,65.78336526168926,0.9087791902318362,678.9115646258502,0.6956,100.0,1,1
100.0,15.0,5,2956.308536478162,8.196431218276592e-05,28.204906878459237,65.78105457156903,0.9086997925361102,848.6394557823128,0.8695,100.0,1,1
100.0,15.0,6,3680.1970911435037,6.598721653038006e-05,43.128994938753884,65.77874406907927,0.9086204017771563,1018.3673469387754,1.0434,100.0,1,1
100.0,18.0,1,676.7140530611182,0.00035466933103625353,0.027407224611555123,65.79021909511567,0.9090146978975233,200.34013605442175,0.1829,50.1052488027356,1,1
100.0,18.0,2,5580.36890788623,4.3153857191763105e-05,18.87300420581771,65.78782849227355,0.9089325528243509,400.6802721088435,0.3658,50.12309455696768,1,1
100.0,18.0,3,10501.928578166442,2.297463038739904e-05,55.62341664212487,65.78543809021193,0.9088504151743951,601.0204081632653,0.5487000000000001,50.14094596234331,1,1
100.0,18.0,4,15445.542083600523,1.565443929482395e-05,114.42766423229608,65.78304788891535,0.9087682849469852,801.360544217687,0.7316,50.15880302035914,1,1
100.0,18.0,5,20411.34830412629,1.1871829545465375e-05,195.4246269141612,65.78065788836835,0.9086861621414504,1001.7006802721087,0.9145000000000001,50.176665732511964,1,1
100.0,18.0,6,25399.378010964956,9.561473787277845e-06,298.6450759089169,65.77826808855548,0.90860404675712,1202.0408163265306,1.0974000000000002,50.1945341002991,1,1
100.0,21.0,1,1143.8240720373606,0.00020983239133051654,0.05404454925408002,65.7901397324805,0.9090119708575202,230.95238095238093,0.19190000000000002,27.04588508973773,1,1
100.0,21.0,2,8549.706418106094,2.8166543789183e-05,28.959187053594366,65.78766978055535,0.9089270992453947,461.90476190476187,0.38380000000000003,27.05583771108775,1,1
100.0,21.0,3,15982.887590614584,1.5096500193285902e-05,85.16315599768558,65.78520004296121,0.9088422355574668,692.8571428571428,0.5757000000000001,27.065793588724265,1,1
