objective,V,d_org,d_in,n,d_orgxd_in,d_orgxn,d_inxn,3way,ST_d_org,ST_d_in,ST_n
T80_h,40073722.091159366,0.033,0.553,0.138,0.053,0.015,0.184,0.024,0.125,0.814,0.361
dur_yr,342.5129438485192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cost_min,3341910.7176600797,0.008,0.371,0.532,0.0,0.002,0.088,-0.0,0.009,0.459,0.622
weight,4.445550644791667,0.343,0.024,0.545,-0.0,0.082,0.006,0.0,0.425,0.03,0.633
Tmax_C,0.0004797186900398984,0.334,0.017,0.565,0.0,0.079,0.004,0.0,0.414,0.021,0.649
Topt,5.662983319051008e-07,0.334,0.017,0.565,0.0,0.079,0.004,0.0,0.414,0.021,0.649
